bibliography_id,publication_type,bibtype,title,author,school,doi,url,year,month,publisher,volume,number,pages,journal,copyright,editor,booktitle,institution,language,day,issn,article-number
Ward_et_al_2021_data,primary dataset,Misc,"Data from: Organic carbon, grain size, elemental/isotopic composition",Melissa Ward,NA,10.5061/dryad.m0cfxpp31,https://doi.org/10.5061/dryad.m0cfxpp31,2021,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ward_et_al_2021_article,associated source,Article,Blue carbon stocks and exchanges along the California coast,M. A. Ward and T. M. Hill and C. Souza and T. Filipczyk and A. M. Ricart and S. Merolla and L. R. Capece and B. C. O'Donnell and K. Elsmore and W. C. Oechel and K. M. Beheshti,NA,10.5194/bg-18-4717-2021,https://bg.copernicus.org/articles/18/4717/2021/,2021,NA,NA,18,16,4717--4732,Biogeosciences,NA,NA,NA,NA,NA,NA,NA,NA
StLaurent_et_al_2020_data,primary dataset,Misc,Dataset: Assessing coastal carbon variability in two Delaware tidal marshes,Kari A. St. Laurent and Daniel J. Hribar and Annette J. Carlson and {Calyn M. Crawford} and {Drexel Siok},NA,10.25573/SERC.13315472,https://smithsonian.figshare.com/articles/dataset/Dataset_Assessing_coastal_carbon_variability_in_two_Delaware_tidal_marshes/13315472,2020,dec,The Smithsonian Institution,NA,NA,NA,NA,Creative Commons Attribution 4.0 International,NA,NA,NA,NA,NA,NA,NA
StLaurent_et_al_2020_article,associated source,Article,Assessing coastal carbon variability in two Delaware tidal marshes,Kari A. St. Laurent and Daniel J. Hribar and Annette J. Carlson and Calyn M. Crawford and Drexel Siok,NA,10.1007/s11852-020-00783-3,https://doi.org/10.1007/s11852-020-00783-3,2020,oct,Springer Science and Business Media {LLC},24,6,NA,Journal of Coastal Conservation,NA,NA,NA,NA,NA,NA,NA,NA
Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kristensen_et_al_1992_article,synthesis source,Article,"Preliminary study of benthic metabolism and sulfate reduction in a mangrove swamp of the Indus Delta, Pakistan","Kristensen, Erik and Devol, Allan H and Ahmed, Saiyed I and Saleem, Monawwar",NA,NA,https://www.jstor.org/stable/24832497,1992,NA,NA,NA,NA,NA,Marine Ecology Progress Series,NA,NA,NA,NA,NA,NA,NA,NA
Osland_et_al_2012_article,synthesis source,Article,Ecosystem Development After Mangrove Wetland Creation: Plant{\textendash}Soil Change Across a 20-Year Chronosequence,Michael J. Osland and Amanda C. Spivak and Janet A. Nestlerode and Jeannine M. Lessmann and Alejandro E. Almario and Paul T. Heitmuller and Marc J. Russell and Ken W. Krauss and Federico Alvarez and Darrin D. Dantin and James E. Harvey and Andrew S. From and Nicole Cormier and Camille L. Stagg,NA,10.1007/s10021-012-9551-1,https://doi.org/10.1007/s10021-012-9551-1,2012,may,Springer Science and Business Media {LLC},15,5,848--866,Ecosystems,NA,NA,NA,NA,NA,NA,NA,NA
Poppe_and_Rybczyk_2021_article,synthesis source,Article,"Tidal marsh restoration enhances sediment accretion and carbon accumulation in the Stillaguamish River estuary, Washington",KL Poppe and JM Rybczyk,NA,10.1371/journal.pone.0257244,https://doi.org/10.1371/journal.pone.0257244,2021,NA,NA,NA,NA,NA,Plos One,NA,NA,NA,NA,NA,NA,NA,NA
Crooks_et_al_2014_techreport,synthesis source,TechReport,Coastal Blue Carbon Opportunity Assessment for the Snohomish Estuary: The Climate Benefits of Estuary Restoration,S Crooks and J Rybczyk and K O`Connell and D L Devier and K Poppe and S Emmett-Mattox,NA,10.13140/RG.2.1.1371.6568,doi.org/10.13140/RG.2.1.1371.6568,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,Western Washington University,NA,NA,NA,NA
Poppe_et_al_2019_synthesis,synthesis dataset,Misc,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, USA",Katrina L Poppe and John M Rybczyk,NA,10.25573/DATA.10005248,https://smithsonian.figshare.com/articles/Dataset_Sediment_carbon_stocks_and_sequestration_rates_in_the_Pacific_Northwest_region_of_Washington_USA/10005248,2019,NA,The Smithsonian Institution,NA,NA,NA,NA,CC BY 4.0,NA,NA,NA,NA,NA,NA,NA
