study_id,site_id,core_id,method_id,depth_min,depth_max,cs137_activity,cs137_activity_se,is_peak,max_core_depth,rank,depth_rank,date,mean_cs,sd_cs,z_score,p_value_overall,index,n_dates,upper_p,lower_p,min_possible_peak_depth,max_possible_peak_depth,sig_level,year,month,day,core_notes,latitude,longitude,position_accuracy,position_method,position_notes,elevation,elevation_datum,elevation_accuracy,elevation_method,elevation_notes,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,inundation_class,inundation_method,inundation_notes,core_length_flag,pb210_cic_accretion_rate,pb210_cic_notes,pb210_cic_max_depth,pb210_cic_r2,geomorphic_id,country,admin_division,habitat,stocks_qual_code,dates_qual_code,elevation_qual_code,max_depth,high_accretion,low_accretion,age_min,age_max,depth_med,age_mean,age_sd
Arriola_and_Cable_2017,snipe_creek_hammock,snipe_creek_HE,single set of methods,18,19,14.78,44.34077855921869,1,21,1,1,1963,5.184222222222222,3.4742791854693915,2.7619478071625787,0.002872883133931192,19,21,0.7729463196398443,0.8025698517797816,18,19,1,2011,4,12,NA,30.0719,-83.95126666666667,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,emergent,NA,NA,NA,NA,NA,not specified,NA,NA,NA,NA,NA,United States,Florida,marsh,C2,B2,NA,34,0.3958333333333333,0.375,1965.5263157894738,1960.3333333333333,18.5,1962.9298245614036,1.4990849094748604
Arriola_and_Cable_2017,snipe_creek_hammock,snipe_creek_HI,single set of methods,10,11,6.77,20.310356620156327,1,33,1,1,1963,5.184222222222222,3.4742791854693915,0.4564336062599792,0.3240391020958293,11,24,0.7706051993887503,0.6726342681481279,10,11,0,2013,5,26,NA,30.071733333333334,-83.95023333333333,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,emergent,NA,Core collected in emergent vegetation but located near tree hammocks,NA,NA,NA,not specified,NA,NA,NA,NA,NA,United States,Florida,marsh,C2,B2,NA,35,0.22,0.2,1967.5454545454545,1958,10.5,1962.7727272727273,2.7555353756777476
Arriola_and_Cable_2017,snipe_creek_high_marsh,snipe_creek_F,single set of methods,7,8,9.6,28.80050569475639,1,24,1,1,1963,3.9469767441860464,2.396413525491912,2.358951489665606,0.00916332564581157,8,24,0.8130669277678476,0.8436284917941438,7,8,1,2013,5,26,NA,30.07775,-83.9461,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,emergent,NA,Core collected in emergent vegetation but located near tree hammocks,NA,NA,NA,not specified,NA,NA,NA,NA,NA,United States,Florida,marsh,C2,B2,NA,40,0.16,0.14,1969.25,1955.857142857143,7.5,1962.5535714285716,3.8661848383233774
Arriola_and_Cable_2017,snipe_creek_high_marsh,snipe_creek_S,single set of methods,12,13,7.5,22.50039507402843,1,19,1,1,1963,3.9469767441860464,2.396413525491912,1.4826419639259147,0.06908478080273528,13,19,0.6044806529396556,0.7640029931585223,12,13,0,2013,5,26,NA,30.07675,-83.94756666666666,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,emergent,NA,Core collected in emergent vegetation but located near tree hammocks,NA,NA,NA,not specified,NA,NA,NA,NA,NA,United States,Florida,marsh,C2,B2,NA,35,0.26,0.24,1966.8461538461538,1958.8333333333333,12.5,1962.8397435897436,2.313102040022551
Arriola_and_Cable_2017,snipe_creek_low_marsh,snipe_creek_M,single set of methods,5,6,14.54,43.62076591684978,1,18,1,1,1963,7.70235294117647,4.777556291415839,1.4312017780113226,0.07618619707043273,5,17,0.9656785557013448,0.9649460370732101,5,6,0,2011,4,12,NA,30.06585,-83.95698333333333,NA,handheld,NA,NA,NA,NA,NA,NA,NA,NA,NA,emergent,NA,NA,NA,NA,NA,not specified,NA,NA,NA,NA,NA,United States,Florida,marsh,C2,B2,NA,35,0.125,0.10416666666666667,1971,1953.4,5.5,1962.2,5.080682368868681
Baustian_et_al_2021,Barataria basin,175,single set of methods,16,18,3.61,0.12,1,100,1,1,1963,1.5797849462365592,2.3451782070483254,0.8656975609195595,0.19332801897215757,5,8,1.5711944470446846e-59,2.768175017766713e-35,14,22,2,2015,2,1,NA,29.288391112,-90.140757793,NA,RTK,NA,NA,NA,NA,NA,NA,saline,field observation,NA,emergent,measurement,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,NA,100,0.4230769230769231,0.2692307692307692,1981.909090909091,1933.2857142857142,18,1957.5974025974026,14.036359791207568
Baustian_et_al_2021,Barataria basin,224,single set of methods,20,22,1.48,0.1,1,100,1,1,1963,1.5797849462365592,2.3451782070483254,-0.04254898239147035,0.5169694676105856,7,13,0.0021850213801352506,1.0749169539205833e-8,18,26,2,2015,2,1,NA,29.50040552,-89.915682786,NA,RTK,NA,NA,NA,NA,NA,NA,saline,field observation,NA,emergent,measurement,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,NA,100,0.5,0.34615384615384615,1979,1939.888888888889,22,1959.4444444444443,11.290405264152675
Baustian_et_al_2021,Barataria basin,225,single set of methods,38,40,9.6,0.2,1,100,1,1,1963,1.5797849462365592,2.3451782070483254,3.419874459714427,3.1325020439476603e-4,9,13,2.6513512051650744e-81,5.620069280191782e-237,30,50,3,2015,2,1,NA,29.563333065,-90.008160394,NA,RTK,NA,NA,NA,NA,NA,NA,brackish,field observation,NA,emergent,measurement,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,NA,100,0.9615384615384616,0.5769230769230769,1983.8,1928.3333333333333,40,1956.0666666666666,16.01184746552563
Baustian_et_al_2021,Barataria basin,253,single set of methods,38,40,3.46,0.12,1,100,1,1,1963,1.5797849462365592,2.3451782070483254,0.8017365367427264,0.2113526880816693,8,9,6.153666695584206e-40,2.041830089810301e-57,24,60,2,2015,2,1,NA,29.55395623,-90.074757718,NA,RTK,NA,NA,NA,NA,NA,NA,brackish,field observation,NA,emergent,measurement,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,NA,100,1.1538461538461537,0.46153846153846156,1994.2,1885,42,1939.6,31.52332469775358
Baustian_et_al_2021,Barataria basin,3166,single set of methods,38,40,17.2,0.32,1,100,1,1,1963,1.5797849462365592,2.3451782070483254,6.660566351340637,1.363875679061266e-11,7,11,1.6750827188505443e-75,1.495990083584453e-154,22,42,3,2015,7,1,NA,29.857378576,-90.287707952,NA,RTK,NA,NA,NA,NA,NA,NA,fresh,field observation,NA,emergent,measurement,NA,NA,NA,NA,core depth limited by length of corer,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,NA,100,0.8076923076923077,0.4230769230769231,1987.7619047619048,1915.7272727272727,32,1951.7445887445888,20.794607098085233
