study_id,bibliography_id,publication_type,key,bibtype,doi,url,year,month,publisher,volume,number,author,title,journal,school,pages,keywords,copyright,editor,booktitle,institution,language,citation
Yando_et_al_2016,Sanderman_2018,synthesis,Sanderman_2018_1,Misc,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,2017,NA,Harvard Dataverse,NA,NA,Jonathan Sanderman,Global mangrove soil carbon: dataset and spatial maps,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Sanderman_2018_1]
Chen_and_Twilley_1999,Chen_and_Twilley_1999,Article,Chen_and_Twilley_1999_1,Article,10.1007/bf00993000,https://doi.org/10.1007/bf00993000,1999,jan,Springer Science and Business Media {LLC},44,NA,Ronghua Chen and Robert R. Twilley,A simulation model of organic matter and nutrient accumulation in mangrove wetland soils,Biogeochemistry,NA,93--118,NA,NA,NA,NA,NA,NA,[@Chen_and_Twilley_1999_1]
Osland_et_al_2012,Osland_et_al_2012,Article,Osland_et_al_2012_1,Article,10.1007/s10021-012-9551-1,https://doi.org/10.1007/s10021-012-9551-1,2012,may,Springer Science and Business Media {LLC},15,5,Michael J. Osland and Amanda C. Spivak and Janet A. Nestlerode and Jeannine M. Lessmann and Alejandro E. Almario and Paul T. Heitmuller and Marc J. Russell and Ken W. Krauss and Federico Alvarez and Darrin D. Dantin and James E. Harvey and Andrew S. From and Nicole Cormier and Camille L. Stagg,Ecosystem Development After Mangrove Wetland Creation: {Plant-Soil} Change Across a 20-Year Chronosequence,Ecosystems,NA,848--866,NA,NA,NA,NA,NA,NA,[@Osland_et_al_2012_1]
Smoak_et_al_2013,Smoak_et_al_2013,Article,Smoak_et_al_2013_1,Article,10.1016/j.catena.2012.10.009,https://doi.org/10.1016/j.catena.2012.10.009,2013,may,Elsevier {BV},104,NA,Joseph M. Smoak and Joshua L. Breithaupt and Thomas J. Smith and Christian J. Sanders,Sediment accretion and organic carbon burial relative to sea-level rise and storm events in two mangrove forests in Everglades National Park,{CATENA},NA,58--66,NA,NA,NA,NA,NA,NA,[@Smoak_et_al_2013_1]
Chmura_et_al_2003,Chmura_et_al_2003,Article,Chmura_et_al_2003_1,Article,10.1029/2002gb001917,https://doi.org/10.1029/2002gb001917,2003,dec,American Geophysical Union ({AGU}),17,4,Gail L. Chmura and Shimon C. Anisfeld and Donald R. Cahoon and James C. Lynch,"Global carbon sequestration in tidal, saline wetland soils",Global Biogeochemical Cycles,NA,n/a--n/a,NA,NA,NA,NA,NA,NA,[@Chmura_et_al_2003_1]
Yando_et_al_2016,Yando_et_al_2016,Article,Yando_et_al_2016_1,Article,10.1111/1365-2745.12571,https://doi.org/10.1111/1365-2745.12571,2016,apr,Wiley,104,4,Erik S. Yando and Michael J. Osland and Jonathan M. Willis and Richard H. Day and Ken W. Krauss and Mark W. Hester,Salt marsh-mangrove ecotones: using structural gradients to investigate the effects of woody plant encroachment on plant-soil interactions and ecosystem carbon pools,Journal of Ecology,NA,1020--1031,NA,NA,Rebecca McCulley,NA,NA,NA,[@Yando_et_al_2016_1]
Marchio_et_al_2016,Marchio_et_al_2016,Article,Marchio_et_al_2016_1,Article,10.3390/f7060116,https://doi.org/10.3390/f7060116,2016,may,{MDPI},7,6,Daniel Marchio and Michael Savarese and Brian Bovard and William Mitsch,Carbon Sequestration and Sedimentation in Mangrove Swamps Influenced by Hydrogeomorphic Conditions and Urbanization in Southwest Florida,Forests,NA,116,NA,NA,NA,NA,NA,NA,[@Marchio_et_al_2016_1]
Cahoon_and_Lynch_1997,Cahoon_and_Lynch_1997,Article,Cahoon_and_Lynch_1997_1,Article,10.1023/A:1009904816246,https://doi.org/10.1023/A:1009904816246,1997,NA,NA,1,3,"Cahoon, Donald R and Lynch, James C","Vertical accretion and shallow subsidence in a mangrove forest of southwestern Florida, {USA}",Mangroves and Salt Marshes,NA,173--186,NA,NA,NA,NA,NA,NA,[@Cahoon_and_Lynch_1997_1]
Callaway_et_al_1997,Callaway_et_al_1997,Article,Callaway_et_al_1997_1,Article,NA,NA,1997,NA,NA,13,1,"Callaway, JC and DeLaune, RD and Patrick Jr, WH",Sediment accretion rates from four coastal wetlands along the Gulf of Mexico,Journal of Coastal Research,NA,181--191,NA,NA,NA,NA,NA,NA,[@Callaway_et_al_1997_1]
Poppe_and_Rybczyk_2018,Poppe_and_Rybczyk_2019,synthesis,Poppe_and_Rybczyk_2019_1,Misc,10.25573/data.10005248,https://smithsonian.figshare.com/articles/Dataset_Sediment_carbon_stocks_and_sequestration_rates_in_the_Pacific_Northwest_region_of_Washington_USA/10005248,2019,NA,The Smithsonian Institution,NA,NA,Katrina Poppe and John Rybczyk,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, {USA}",NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Poppe_and_Rybczyk_2019_1]
Poppe_and_Rybczyk_2019,Poppe_and_Rybczyk_2019,synthesis,Poppe_and_Rybczyk_2019_1,Misc,10.25573/data.10005248,https://smithsonian.figshare.com/articles/Dataset_Sediment_carbon_stocks_and_sequestration_rates_in_the_Pacific_Northwest_region_of_Washington_USA/10005248,2019,NA,The Smithsonian Institution,NA,NA,Katrina Poppe and John Rybczyk,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, {USA}",NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Poppe_and_Rybczyk_2019_1]
Poppe_et_al_2019,Poppe_and_Rybczyk_2019,synthesis,Poppe_and_Rybczyk_2019_1,Misc,10.25573/data.10005248,https://smithsonian.figshare.com/articles/Dataset_Sediment_carbon_stocks_and_sequestration_rates_in_the_Pacific_Northwest_region_of_Washington_USA/10005248,2019,NA,The Smithsonian Institution,NA,NA,Katrina Poppe and John Rybczyk,"Dataset: Sediment carbon stocks and sequestration rates in the Pacific Northwest region of Washington, {USA}",NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Poppe_and_Rybczyk_2019_1]
Poppe_and_Rybczyk_2018,Poppe_and_Rybczyk_2018a,Article,Poppe_and_Rybczyk_2018a_1,Article,10.3955/046.092.0202,NA,2018,NA,NA,92,2,KL Poppe and JM Rybczyk,Carbon Sequestration in a Pacific Northwest Eelgrass ({Zostera marina}) Meadow,Northwest Science,NA,NA,NA,NA,NA,NA,NA,NA,[@Poppe_and_Rybczyk_2018a_1]
Poppe_and_Rybczyk_2018,Poppe_and_Rybczyk_2018b,MastersThesis,Poppe_and_Rybczyk_2018b_1,MastersThesis,NA,NA,2015,NA,NA,NA,NA,KL Poppe,An Ecogeomorphic Model to Assess the Response of Padilla Bay's Eelgrass Habitat to Sea Level Rise,NA,Western Washington University,NA,NA,NA,NA,NA,NA,NA,[@Poppe_and_Rybczyk_2018b_1]
Poppe_and_Rybczyk_2019,Poppe_and_Rybczyk_2019b,TechReport,Poppe_and_Rybczyk_2019b_1,TechReport,NA,NA,2019,NA,NA,NA,NA,KL Poppe and JM Rybczyk,A Blue Carbon Assessment for the Stillaguamish River Estuary: Quantifying the Climate Benefits of Tidal Marsh Restoration,NA,NA,NA,NA,NA,NA,NA,Western Washington University,NA,[@Poppe_and_Rybczyk_2019b_1]
Poppe_et_al_2019,Poppe_et_al_2019,TechReport,Poppe_et_al_2019_1,TechReport,NA,NA,2014,NA,NA,NA,NA,S Crooks and J Rybczyk and K O`Connell and D L Devier and K Poppe and S Emmett-Mattox,Coastal Blue Carbon Opportunity Assessment for the Snohomish Estuary: The Climate Benefits of Estuary Restoration,NA,NA,NA,NA,NA,NA,NA,Restore America's Estuaries,NA,[@Poppe_et_al_2019_1]
Peck_et_al_2020,Peck_et_al_2020,Misc,Peck_et_al_2020_1,Misc,10.25573/SERC.11317820.V2,https://smithsonian.figshare.com/articles/Dataset_Controls_on_sediment_accretion_and_blue_carbon_burial_in_tidal_saline_wetlands_Insights_from_the_Oregon_coast_U_S_A_/11317820/2,2020,NA,The Smithsonian Institution,NA,NA,Erin Peck and Robert Wheatcroft and Laura Brophy,"Dataset: Controls on sediment accretion and blue carbon burial in tidal saline wetlands: Insights from the Oregon coast, {U.S.A.}",NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science",NA,NA,NA,NA,NA,[@Peck_et_al_2020_1]
Osland_et_al_2016,Osland_et_al_2016,data release,Osland_et_al_2016_1,Misc,10.5066/f7j1017g,https://www.sciencebase.gov/catalog/item/5731fbace4b0dae0d5dc1e59,2016,NA,U.S. Geological Survey,NA,NA,Michael J. Osland and J.B. Grace and C.L. Stagg and R.H. Day and S.B. Hartley and N.M. Enwright and C.A Gabler,"{U.S.} Gulf of Mexico coast ({TX, MS, AL, and FL}) Vegetation, soil, and landscape data (2013-2014)",NA,NA,NA,NCCWSC/CSC Data Product,NA,NA,NA,NA,NA,[@Osland_et_al_2016_1]
Noe_et_al_2016,Noe_et_al_2016,Article,Noe_et_al_2016_1,Article,10.1007/s12237-016-0066-4,https://doi.org/10.1007/s12237-016-0066-4,2016,jan,Springer Nature,39,4,Gregory B. Noe and Cliff R. Hupp and Christopher E. Bernhardt and Ken W. Krauss,Contemporary Deposition and Long-Term Accumulation of Sediment and Nutrients by Tidal Freshwater Forested Wetlands Impacted by Sea Level Rise,Estuaries and Coasts,NA,1006--1019,NA,NA,NA,NA,NA,NA,[@Noe_et_al_2016_1]
Nahlik_and_Fennessy_2016,Nahlik_and_Fennessy_2016,Article,Nahlik_and_Fennessy_2016_1,Article,10.1038/ncomms13835,https://doi.org/10.1038/ncomms13835,2016,dec,NA,NA,NA,Amanda M. Nahlik and Siobhan Fennessy,Carbon storage in {US} wetlands,Nature Communications,NA,NA,NA,NA,NA,NA,NA,NA,[@Nahlik_and_Fennessy_2016_1]
Messerschmidt_and_Kirwan_2020,Messerschmidt_and_Kirwan_2020,Misc,Messerschmidt_and_Kirwan_2020_1,Misc,10.25573/SERC.11914140,https://smithsonian.figshare.com/articles/Dataset_Soil_properties_and_accretion_rates_of_C3_and_C4_marshes_at_the_Global_Change_Research_Wetland_Edgewater_Maryland/11914140,2020,NA,The Smithsonian Institution,NA,NA,Tyler C. Messerschmidt and Matthew L. Kirwan,"Dataset: Soil properties and accretion rates of C3 and C4 marshes at the Global Change Research Wetland, Edgewater, Maryland",NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science",NA,NA,NA,NA,NA,[@Messerschmidt_and_Kirwan_2020_1]
McTigue_et_al_2020,McTigue_et_al_2019,Article,McTigue_et_al_2019_1,Article,10.1029/2019JG005207,https://doi.org/10.1029/2019JG005207,2019,NA,Wiley Online Library,124,NA,Nathan McTigue and Jenny Davis and Tony Rodriguez and Brent McKee and Anna Atencio and Carolyn Currin,Sea-level rise explains changing carbon accumulation rates in a salt marsh over the past two millennia,Journal of Geophysical Research: Biogeosciences,NA,2945--2957,NA,NA,NA,NA,NA,NA,[@McTigue_et_al_2019_1]
McTigue_et_al_2020,McTigue_et_al_2020,Misc,McTigue_et_al_2020_1,Misc,10.25573/serc.11421063,NA,2020,NA,The Smithsonian Institution,NA,NA,Nathan McTigue and Jenny Davis and Antonio Rodriguez and Brent McKee and Anna Atencio and Carolyn Currin,Dataset: Carbon accumulation rates in a salt marsh over the past two millennia,NA,NA,NA,NA,NA,NA,NA,NA,NA,[@McTigue_et_al_2020_1]
Luk_et_al_2020_a,Luk_et_al_2021,Article,Luk_et_al_2021_1,Article,10.1029/2020gl090287,https://doi.org/10.1029/2020gl090287,2021,jan,American Geophysical Union ({AGU}),48,2,Sheron Y. Luk and Katherine Todd-Brown and Meagan Eagle and Ann P. McNichol and Jonathan Sanderman and Kelsey Gosselin and Amanda C. Spivak,Soil Organic Carbon Development and Turnover in Natural and Disturbed Salt Marsh Environments,Geophysical Research Letters,NA,NA,NA,NA,NA,NA,NA,NA,[@Luk_et_al_2021_1]
Luk_et_al_2020_b,Luk_et_al_2021,Article,Luk_et_al_2021_1,Article,10.1029/2020gl090287,https://doi.org/10.1029/2020gl090287,2021,jan,American Geophysical Union ({AGU}),48,2,Sheron Y. Luk and Katherine Todd-Brown and Meagan Eagle and Ann P. McNichol and Jonathan Sanderman and Kelsey Gosselin and Amanda C. Spivak,Soil Organic Carbon Development and Turnover in Natural and Disturbed Salt Marsh Environments,Geophysical Research Letters,NA,NA,NA,NA,NA,NA,NA,NA,[@Luk_et_al_2021_1]
Luk_et_al_2020_a,Spivak_2020,Misc,Spivak_2020_1,Misc,10.26008/1912/bco-dmo.827298.1,https://hdl.handle.net/1912/26379,2020,NA,Biological and Chemical Oceanography Data Management Office (BCO-DMO),NA,NA,Amanda Spivak,Bulk soil and elemental properties of marsh and infilled pond soils collected in 2014-2015 within Plum Island Ecosystems {LTER},NA,NA,NA,NA,NA,NA,NA,NA,en,[@Spivak_2020_1]
Luk_et_al_2020_b,Luk_et_al_2020,Misc,Luk_et_al_2020_1,Misc,10.5066/p9hiowkt,https://www.sciencebase.gov/catalog/item/5fb41153d34eb413d5e0af37,2020,NA,U.S. Geological Survey,NA,NA,Sheron Y Luk and Amanda C Spivak and Meagan J Eagle and Jennifer A {O'keefe Suttles},"Collection, analysis, and age-dating of sediment cores from a salt marsh platform and ponds, Rowley, Massachusetts, 2014-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Luk_et_al_2020_1]
Lagomasino_et_al_2020,Lagomasino_et_al_2020,Lagomasino_et_al_2020,Lagomasino_et_al_2020_1,Misc,10.25573/SERC.12043335,https://smithsonian.figshare.com/articles/Dataset_Influence_of_Wind-Driven_Inundation_and_Coastal_Geomorphology_on_Sedimentation_in_Two_Microtidal_Marshes_Pamlico_River_Estuary_NC/12043335,2020,NA,The Smithsonian Institution,NA,NA,David Lagomasino and {D. Reide Corbett} and {J.P. Walsh},"Dataset: Influence of Wind-Driven Inundation and Coastal Geomorphology on Sedimentation in Two Microtidal Marshes, Pamlico River Estuary, {NC}",NA,NA,NA,"Environmental Science, 40303 Geochronology, Geology, 40310 Sedimentology, Soil Science, 50301 Carbon Sequestration Science",NA,NA,NA,NA,NA,[@Lagomasino_et_al_2020_1]
Lagomasino_et_al_2020,Lagomasino_et_al_2020,Lagomasino_et_al_2020,Lagomasino_et_al_2020_2,Article,10.1007/s12237-013-9625-0,NA,2013,NA,Springer,36,NA,David Lagomasino and D Reide Corbett and JP Walsh,"Influence of wind-driven inundation and coastal geomorphology on sedimentation in two microtidal marshes, Pamlico River Estuary, {NC}",Estuaries and coasts,NA,1165--1180,NA,NA,NA,NA,NA,NA,[@Lagomasino_et_al_2020_2]
Krauss_et_al_2018c,Krauss_et_al_2018_data_release,Misc,Krauss_et_al_2018_data_release_1,Misc,10.5066/f7tm7930,https://www.sciencebase.gov/catalog/item/59e9f79de4b05fe04cd690a1,2018,NA,U.S. Geological Survey,NA,NA,Ken W Krauss and Gregory Noe and Jamie A. Duberstein and William H. Conner and Miriam C Jones and Christopher E Bernhardt and Nicole Cormier and Andrew From,"Carbon budget assessment of tidal freshwater forested wetland and oligohaline marsh ecosystems along the Waccamaw and Savannah rivers, {U.S.A.} (2005-2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Krauss_et_al_2018_data_release_1]
Krauss_et_al_2018a,Krauss_et_al_2018_data_release,Misc,Krauss_et_al_2018_data_release_1,Misc,10.5066/f7tm7930,https://www.sciencebase.gov/catalog/item/59e9f79de4b05fe04cd690a1,2018,NA,U.S. Geological Survey,NA,NA,Ken W Krauss and Gregory Noe and Jamie A. Duberstein and William H. Conner and Miriam C Jones and Christopher E Bernhardt and Nicole Cormier and Andrew From,"Carbon budget assessment of tidal freshwater forested wetland and oligohaline marsh ecosystems along the Waccamaw and Savannah rivers, {U.S.A.} (2005-2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Krauss_et_al_2018_data_release_1]
Krauss_et_al_2018b,Krauss_et_al_2018_data_release,Misc,Krauss_et_al_2018_data_release_1,Misc,10.5066/f7tm7930,https://www.sciencebase.gov/catalog/item/59e9f79de4b05fe04cd690a1,2018,NA,U.S. Geological Survey,NA,NA,Ken W Krauss and Gregory Noe and Jamie A. Duberstein and William H. Conner and Miriam C Jones and Christopher E Bernhardt and Nicole Cormier and Andrew From,"Carbon budget assessment of tidal freshwater forested wetland and oligohaline marsh ecosystems along the Waccamaw and Savannah rivers, {U.S.A.} (2005-2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,[@Krauss_et_al_2018_data_release_1]
Krauss_et_al_2018c,Krauss_et_al_2018,Article,Krauss_et_al_2018_1,Article,10.1029/2018gb005897,https://doi.org/10.1029/2018gb005897,2018,may,American Geophysical Union ({AGU}),32,5,Ken W. Krauss and Gregory B. Noe and Jamie A. Duberstein and William H. Conner and Camille L. Stagg and Nicole Cormier and Miriam C. Jones and Christopher E. Bernhardt and B. Graeme Lockaby and Andrew S. From and Thomas W. Doyle and Richard H. Day and Scott H. Ensign and Katherine N. Pierfelice and Cliff R. Hupp and Alex T. Chow and Julie L. Whitbeck,The Role of the Upper Tidal Estuary in Wetland Blue Carbon Storage and Flux,Global Biogeochemical Cycles,NA,817--839,NA,NA,NA,NA,NA,NA,[@Krauss_et_al_2018_1]
Krauss_et_al_2018c,Jones_et_al_2017,Article,Jones_et_al_2017_1,Article,10.1002/2017jg004015,https://doi.org/10.1002/2017jg004015,2017,dec,American Geophysical Union ({AGU}),122,12,Miriam C. Jones and Christopher E. Bernhardt and Ken W. Krauss and Gregory B. Noe,"The Impact of Late Holocene Land Use Change, Climate Variability, and Sea Level Rise on Carbon Storage in Tidal Freshwater Wetlands on the Southeastern United States Coastal Plain",Journal of Geophysical Research: Biogeosciences,NA,3126--3141,NA,NA,NA,NA,NA,NA,[@Jones_et_al_2017_1]
Krauss_et_al_2018a,Krauss_et_al_2018,Article,Krauss_et_al_2018_1,Article,10.1029/2018gb005897,https://doi.org/10.1029/2018gb005897,2018,may,American Geophysical Union ({AGU}),32,5,Ken W. Krauss and Gregory B. Noe and Jamie A. Duberstein and William H. Conner and Camille L. Stagg and Nicole Cormier and Miriam C. Jones and Christopher E. Bernhardt and B. Graeme Lockaby and Andrew S. From and Thomas W. Doyle and Richard H. Day and Scott H. Ensign and Katherine N. Pierfelice and Cliff R. Hupp and Alex T. Chow and Julie L. Whitbeck,The Role of the Upper Tidal Estuary in Wetland Blue Carbon Storage and Flux,Global Biogeochemical Cycles,NA,817--839,NA,NA,NA,NA,NA,NA,[@Krauss_et_al_2018_1]
Krauss_et_al_2018a,Jones_et_al_2017,Article,Jones_et_al_2017_1,Article,10.1002/2017jg004015,https://doi.org/10.1002/2017jg004015,2017,dec,American Geophysical Union ({AGU}),122,12,Miriam C. Jones and Christopher E. Bernhardt and Ken W. Krauss and Gregory B. Noe,"The Impact of Late Holocene Land Use Change, Climate Variability, and Sea Level Rise on Carbon Storage in Tidal Freshwater Wetlands on the Southeastern United States Coastal Plain",Journal of Geophysical Research: Biogeosciences,NA,3126--3141,NA,NA,NA,NA,NA,NA,[@Jones_et_al_2017_1]
