country,territory
Albania,Albania
Algeria,Algeria
Angola,Angola
Antarctica,Antarctica
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Aruba,Aruba
Australia,Australia
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belgium,Belgium
Belize,Belize
Benin,Benin
Bosnia and Herzegovina,Bosnia and Herzegovina
Brazil,Brazil
Brunei,Brunei
Bulgaria,Bulgaria
Cabo Verde,Cabo Verde
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Chile,Chile
China,China
Colombia,Colombia
Comoros,Comoros
Congo,Congo
Costa Rica,Costa Rica
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Côte d'Ivoire,Côte d'Ivoire
Democratic Republic of the Congo,Democratic Republic of the Congo
Denmark,Denmark
Denmark,Faroe Islands
Denmark,Greenland
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Fiji,Fiji
Finland,Finland
France,Clipperton
France,France
France,French Guiana
France,French Polynesia
France,French Southern Territories
France,Guadeloupe
France,Martinique
France,Mayotte
France,New Caledonia
France,Réunion
France,Saint Barthelemy
France,Saint Martin
France,Saint Pierre and Miquelon
France,Wallis and Futuna
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greece,Greece
Grenada,Grenada
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
Kuwait,Kuwait
Latvia,Latvia
Lebanon,Lebanon
Liberia,Liberia
Libya,Libya
Lithuania,Lithuania
Madagascar,Madagascar
Malaysia,Malaysia
Maldives,Maldives
Malta,Malta
Marshall Islands,Marshall Islands
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Micronesia,Micronesia
Monaco,Monaco
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nauru,Nauru
Netherlands,Aruba
Netherlands,Bonaire
Netherlands,Curacao
Netherlands,Netherlands
Netherlands,Saba
Netherlands,Saint Eustatius
Netherlands,Sint Maarten
New Zealand,New Zealand
Nicaragua,Nicaragua
Nigeria,Nigeria
North Korea,North Korea
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Palau,Palau
Palestinian Territory,Palestinian Territory
Panama,Panama
Papua New Guinea,Papua New Guinea
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Azores
Portugal,Madeira
Portugal,Portugal
Qatar,Qatar
Romania,Romania
Russian Federation,Russian Federation
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Samoa,Samoa
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
South Korea,South Korea
Spain,Canarias
Spain,Spain
Sri Lanka,Sri Lanka
Sudan,Sudan
Suriname,Suriname
Sweden,Sweden
Syria,Syria
Tanzania,Tanzania
Thailand,Thailand
Timor-Leste,Timor-Leste
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Tuvalu,Tuvalu
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,Anguilla
United Kingdom,Ascension
United Kingdom,Bermuda
United Kingdom,British Indian Ocean Territory
United Kingdom,British Virgin Islands
United Kingdom,Cayman Islands
United Kingdom,Falkland Islands
United Kingdom,Gibraltar
United Kingdom,Guernsey
United Kingdom,Isle of Man
United Kingdom,Jersey
United Kingdom,Montserrat
United Kingdom,Pitcairn
United Kingdom,Saint Helena
United Kingdom,South Georgia
United Kingdom,Tristan da Cunha
United Kingdom,Turks and Caicos Islands
United Kingdom,United Kingdom
United States,American Samoa
United States,Guam
United States,Northern Mariana Islands
United States,Puerto Rico
United States,US Virgin Islands
United States,United States
United States,United States Minor Outlying Islands
Uruguay,Uruguay
Vanuatu,Vanuatu
Venezuela,Venezuela
Vietnam,Vietnam
Yemen,Yemen
