study_id,bibliography_id,publication_type,bibtype,title,author,school,year,doi,url,month,publisher,volume,number,pages,journal,keywords,copyright,editor,booktitle,institution,language
Weis_et_al_2001,Weis_et_al_2001_thesis,associated source,Mastersthesis,Vertical accretion rates and heavy metal chronologies in wetland sediments of Tijuana Estuary,"Weis, Daniel Anthony",San Diego State University,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weis_et_al_2001,Weis_et_al_2001_article,associated source,Article,Vertical Accretion Rates and Heavy Metal Chronologies in Wetland Sediments of the Tijuana Estuary,Daniel A. Weis and John C. Callaway and Richard M. Gersberg,NA,2001,10.2307/1353175,https://doi.org/10.2307/1353175,dec,Springer Science and Business Media {LLC},24,6,840,Estuaries,NA,NA,NA,NA,NA,NA
Watson_and_Byrne_2013,Watson_and_Byrne_2013_article,associated source,Article,"Late Holocene Marsh Expansion in Southern San Francisco Bay, California",Elizabeth Burke Watson and Roger Byrne,NA,2013,10.1007/s12237-013-9598-z,https://doi.org/10.1007/s12237-013-9598-z,feb,Springer Science and Business Media {LLC},36,3,643--653,Estuaries and Coasts,NA,NA,NA,NA,NA,NA
Vaughn_et_al_2020,Vaughn_et_al_2021_data,primary dataset,Misc,Dataset: Increased Organic Carbon Burial in Northern Florida Mangrove-Salt Marsh Transition Zones,Derrick Vaughn and Thomas Bianchi and Michael Shields and William Kenney and Todd Osborne,NA,2021,10.25573/SERC.10552004,https://smithsonian.figshare.com/articles/dataset/Dataset_Increased_Organic_Carbon_Burial_in_Northern_Florida_Mangrove-Salt_Marsh_Transition_Zones/10552004/1,NA,The Smithsonian Institution,NA,NA,NA,NA,"50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, FOS: Agriculture, forestry and fisheries, Soil Science",Creative Commons Attribution 4.0 International,NA,NA,NA,NA
Thorne_et_al_2015,Thorne_et_al_2015_data,primary dataset,Misc,Marshes to Mudflats: Climate Change Effects Along a Latitudinal Gradient in the Pacific Northwest,U.S. Geological Survey {Karen Thorne},NA,2015,10.5066/F7SJ1HNC,https://www.sciencebase.gov/catalog/item/5006e99ee4b0abf7ce733f58,NA,U.S. Geological Survey,NA,NA,NA,NA,USGS Data Release,NA,NA,NA,NA,NA
Thorne_et_al_2015,Thorne_et_al_2015_article,associated source,Article,U.S. Pacific coastal wetland resilience and vulnerability to sea-level rise,Karen Thorne and Glen MacDonald and Glenn Guntenspergen and Richard Ambrose and Kevin Buffington and Bruce Dugger and Chase Freeman and Christopher Janousek and Lauren Brown and Jordan Rosencranz and James Holmquist and John Smol and Kathryn Hargan and John Takekawa,NA,2018,10.1126/sciadv.aao3270,https://doi.org/10.1126/sciadv.aao3270,feb,American Association for the Advancement of Science ({AAAS}),4,2,eaao3270,Science Advances,NA,NA,NA,NA,NA,NA
Thom_1992,Thom_1992_data,primary dataset,Misc,Dataset: Accretion rates of low intertidal salt marshes in the Pacific Northwest,Ronald M. Thom,NA,2019,10.25573/DATA.10046189,https://smithsonian.figshare.com/articles/Dataset_Accretion_rates_of_low_intertidal_salt_marshes_in_the_Pacific_Northwest/10046189,NA,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries",CC BY 4.0,NA,NA,NA,NA
Thom_1992,Thom_1992_article,associated source,Article,Accretion rates of low intertidal salt marshes in the Pacific Northwest,Ronald M. Thom,NA,1992,10.1007/bf03160603,https://doi.org/10.1007/bf03160603,dec,Springer Science and Business Media {LLC},12,3,147--156,Wetlands,NA,NA,NA,NA,NA,NA
StLaurent_et_al_2020,StLaurent_et_al_2020_data,primary dataset,Misc,Dataset: Assessing coastal carbon variability in two Delaware tidal marshes,Kari A. St. Laurent and Daniel J. Hribar and Annette J. Carlson and {Calyn M. Crawford} and {Drexel Siok},NA,2020,10.25573/SERC.13315472,https://smithsonian.figshare.com/articles/dataset/Dataset_Assessing_coastal_carbon_variability_in_two_Delaware_tidal_marshes/13315472,dec,The Smithsonian Institution,NA,NA,NA,NA,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, FOS: Agriculture, forestry and fisheries",Creative Commons Attribution 4.0 International,NA,NA,NA,NA
StLaurent_et_al_2020,StLaurent_et_al_2020_article,associated source,Article,Assessing coastal carbon variability in two Delaware tidal marshes,Kari A. St. Laurent and Daniel J. Hribar and Annette J. Carlson and Calyn M. Crawford and Drexel Siok,NA,2020,10.1007/s11852-020-00783-3,https://doi.org/10.1007/s11852-020-00783-3,oct,Springer Science and Business Media {LLC},24,6,NA,Journal of Coastal Conservation,NA,NA,NA,NA,NA,NA
Smith_et_al_2015,Smith_et_al_2015_data,primary dataset,Misc,Wetland paleoecological study of southwest coastal Louisiana: sediment cores and diatom calibration dataset,Kathryn E. L. Smith and James G. Flocks and Gregory D. Steyer and Sarai C. Piazza,NA,2015,10.3133/ds877,https://doi.org/10.3133/ds877,NA,{US} Geological Survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smith_et_al_2015,Smith_2012_phdthesis,associated source,PhdThesis,"PALEOECOLOGICAL STUDY OF COASTAL MARSH IN THE CHENIER PLAIN, LOUISIANA: INVESTIGATING THE DIATOM COMPOSITION OF HURRICANE-DEPOSITED SEDIMENTS AND A DIATOM-BASED QUANTITATIVE RECONSTRUCTION OF SEA-LEVEL CHARACTERISTICS",Kathryn E.L. Smith,University of Florida,2012,NA,https://ufdc.ufl.edu/UFE0044969/00001/pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cahoon_and_Lynch_1997,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,2017,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callaway_et_al_1997,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,2017,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chen_and_Twilley_1999,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,2017,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chmura_et_al_2003,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,2017,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marchio_et_al_2016,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,2017,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osland_et_al_2012,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,2017,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smoak_et_al_2013,Sanderman_2018_data,synthesis dataset,Misc,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,NA,2017,10.7910/dvn/ocyuit,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OCYUIT,NA,Harvard Dataverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
