project,directory,id,status
water-quality,L2_directory,1,present
water-quality,L2_directory,2,present
water-quality,L2_directory,3,present
water-quality,L2_directory,4,present
water-quality,L2_directory,5,present
water-quality,L2_directory,6,present
water-quality,L2_directory,7,present
water-quality,L2_directory,8,not present
water-quality,L2_directory,9,not present
water-quality,L2_directory,10,not present
water-quality,L1_directory,1,present
water-quality,L1_directory,2,present
water-quality,L1_directory,3,present
water-quality,L1_directory,4,present
water-quality,L1_directory,5,present
water-quality,L1_directory,6,not present
water-quality,L1_directory,7,not present
water-quality,L1_directory,8,not present
water-quality,L1_directory,9,not present
water-quality,L1_directory,10,not present
water-level,L2_directory,1,present
water-level,L2_directory,2,present
water-level,L2_directory,3,not present
water-level,L2_directory,4,not present
water-level,L2_directory,5,not present
water-level,L2_directory,6,not present
water-level,L2_directory,7,not present
water-level,L2_directory,8,not present
water-level,L2_directory,9,not present
water-level,L2_directory,10,not present
water-level,L1_directory,1,present
water-level,L1_directory,2,present
water-level,L1_directory,3,present
water-level,L1_directory,4,present
water-level,L1_directory,5,not present
water-level,L1_directory,6,not present
water-level,L1_directory,7,not present
water-level,L1_directory,8,not present
water-level,L1_directory,9,not present
water-level,L1_directory,10,not present
seagrass-food-webs,L2_directory,1,present
seagrass-food-webs,L2_directory,2,present
seagrass-food-webs,L2_directory,3,present
seagrass-food-webs,L2_directory,4,present
seagrass-food-webs,L2_directory,5,present
seagrass-food-webs,L2_directory,6,present
seagrass-food-webs,L2_directory,7,not present
seagrass-food-webs,L2_directory,8,not present
seagrass-food-webs,L2_directory,9,not present
seagrass-food-webs,L2_directory,10,not present
seagrass-food-webs,L1_directory,1,present
seagrass-food-webs,L1_directory,2,present
seagrass-food-webs,L1_directory,3,present
seagrass-food-webs,L1_directory,4,present
seagrass-food-webs,L1_directory,5,present
seagrass-food-webs,L1_directory,6,present
seagrass-food-webs,L1_directory,7,not present
seagrass-food-webs,L1_directory,8,not present
seagrass-food-webs,L1_directory,9,not present
seagrass-food-webs,L1_directory,10,not present
met,L2_directory,1,present
met,L2_directory,2,present
met,L2_directory,3,not present
met,L2_directory,4,not present
met,L2_directory,5,not present
met,L2_directory,6,not present
met,L2_directory,7,not present
met,L2_directory,8,not present
met,L2_directory,9,not present
met,L2_directory,10,not present
met,L1_directory,1,present
met,L1_directory,2,present
met,L1_directory,3,present
met,L1_directory,4,present
met,L1_directory,5,not present
met,L1_directory,6,not present
met,L1_directory,7,not present
met,L1_directory,8,not present
met,L1_directory,9,not present
met,L1_directory,10,not present
