study_id,site_id,core_id,year,month,day,latitude,longitude,position_accuracy,position_method,position_notes,elevation,elevation_datum,elevation_accuracy,elevation_method,elevation_notes,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,inundation_notes,core_length_flag,country,admin_division,habitat,stocks_qual_code,dates_qual_code,elevation_qual_code,max_depth
Adame_et_al_2013,MFA13 Isla Pitaya,M0173,2011,3,9,19.4867,-87.7004,NA,NA,exact,NA,NA,NA,NA,NA,NA,NA,NA,forested,NA,NA,NA,core depth represents deposit depth,Mexico,Quintana Roo,mangrove,C1,NA,NA,147
Adame_et_al_2013,MFA13 Cayo Culebra,M0174,2011,3,9,19.6957,-87.4659,NA,NA,exact,NA,NA,NA,NA,NA,NA,NA,NA,forested,NA,NA,NA,core depth represents deposit depth,Mexico,Quintana Roo,mangrove,C1,NA,NA,100
Adame_et_al_2013,MFA13 Hualaxtoc,M0175,2011,3,9,19.6477,-87.454,NA,NA,exact,NA,NA,NA,NA,NA,NA,NA,NA,forested,NA,NA,NA,core depth represents deposit depth,Mexico,Quintana Roo,mangrove,C1,NA,NA,100
Adame_et_al_2013,MFA13 Laguna Negra,M0176,2011,3,9,19.78,-87.4789,NA,NA,exact,NA,NA,NA,NA,NA,NA,NA,NA,forested,NA,NA,NA,core depth represents deposit depth,Mexico,Quintana Roo,mangrove,C1,NA,NA,100
Adame_et_al_2013,MFA13 Laguna Xamach,M0177,2011,3,9,19.8612,-87.4612,NA,NA,exact,NA,NA,NA,NA,NA,NA,NA,NA,forested,NA,NA,NA,core depth represents deposit depth,Mexico,Quintana Roo,mangrove,C1,NA,NA,100
Adame_et_al_2013,MFA13 La Raya,M0178,2011,3,9,19.8408,-87.48,NA,NA,exact,NA,NA,NA,NA,NA,NA,NA,NA,forested,NA,NA,NA,core depth represents deposit depth,Mexico,Quintana Roo,mangrove,C1,NA,NA,85
Adame_et_al_2013,MFA13 El Playon,M0179,2011,3,9,19.8218,-87.495,NA,NA,exact,NA,NA,NA,NA,NA,NA,NA,NA,forested,NA,NA,NA,core depth represents deposit depth,Mexico,Quintana Roo,mangrove,C1,NA,NA,100
AfSIS_Sentinel_Sites,Ihassunge-13-10,M1716,2009,3,9,-18.0453,36.86095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,forested,NA,NA,NA,not specified,Mozambique,Zambézia,mangrove,C2,NA,NA,50
AfSIS_Sentinel_Sites,Ihassunge-13-2,M1717,2009,3,9,-18.0484,36.85908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,forested,NA,NA,NA,not specified,Mozambique,Zambézia,mangrove,C2,NA,NA,50
AfSIS_Sentinel_Sites,Ihassunge-13-7,M1718,2009,3,9,-18.0532,36.8631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,forested,NA,NA,NA,not specified,Mozambique,Zambézia,mangrove,C2,NA,NA,50
