study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,compaction_fraction,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit,delta_c13,be7_activity,be7_activity_se,be7_unit,age,age_min,age_max,age_se,depth_interval_notes,date
Adame_et_al_2013,MFA13 Cayo Culebra,M0174,single set of methods,0,15,0.15,NA,0.32299999999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Cayo Culebra,M0174,single set of methods,15,30,0.11,NA,0.27699999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Cayo Culebra,M0174,single set of methods,30,50,0.22,NA,0.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Cayo Culebra,M0174,single set of methods,50,100,0.67,NA,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 El Playon,M0179,single set of methods,0,15,0.16,NA,0.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 El Playon,M0179,single set of methods,15,30,0.3,NA,0.16699999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 El Playon,M0179,single set of methods,30,50,0.63,NA,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 El Playon,M0179,single set of methods,50,100,0.39,NA,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Hualaxtoc,M0175,single set of methods,0,15,0.32,NA,0.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Hualaxtoc,M0175,single set of methods,15,30,0.41,NA,0.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Hualaxtoc,M0175,single set of methods,30,50,0.44,NA,0.14800000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Hualaxtoc,M0175,single set of methods,50,100,0.91,NA,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Isla Pitaya,M0173,single set of methods,0,15,0.3,NA,0.28800000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Isla Pitaya,M0173,single set of methods,100,147,0.23,NA,0.35100000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Isla Pitaya,M0173,single set of methods,15,30,0.25,NA,0.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Isla Pitaya,M0173,single set of methods,30,50,0.26,NA,0.33899999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Isla Pitaya,M0173,single set of methods,50,100,0.21,NA,0.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 La Raya,M0178,single set of methods,0,15,0.18,NA,0.28800000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 La Raya,M0178,single set of methods,15,30,0.77,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 La Raya,M0178,single set of methods,30,50,0.89,NA,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 La Raya,M0178,single set of methods,50,85,0.73,NA,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Laguna Negra,M0176,single set of methods,0,15,0.18,NA,0.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Laguna Negra,M0176,single set of methods,15,30,0.18,NA,0.21899999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Laguna Negra,M0176,single set of methods,30,50,0.3,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adame_et_al_2013,MFA13 Laguna Negra,M0176,single set of methods,50,100,0.7,NA,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
