study_id,site_id,core_id,year,month,day,core_notes,latitude,longitude,position_accuracy,position_method,position_notes,elevation,elevation_datum,elevation_accuracy,elevation_method,elevation_notes,salinity_class,salinity_method,salinity_notes,vegetation_class,vegetation_method,vegetation_notes,inundation_class,inundation_method,inundation_notes,core_length_flag,pb210_cic_accretion_rate,pb210_cic_notes,pb210_cic_max_depth,pb210_cic_r2,core_year,core_latitude,core_longitude,core_position_method,geomorphic_id,country,admin_division,habitat,stocks_qual_code,dates_qual_code,elevation_qual_code,max_depth,accretion_yr_per_cm_mean,accretion_yr_per_cm_se,accretion_yr_per_cm_upper_CI,accretion_yr_per_cm_lower_CI,organic_matter_accumulation_mean,organic_matter_accumulation_se,organic_matter_accumulation_upper_CI,organic_matter_accumulation_lower_CI,carbon_accumulation_mean,carbon_accumulation_se,carbon_accumulation_upper_CI,carbon_accumulation_lower_CI,max_age,max_age_se,max_age_upper_CI,max_age_lower_CI
Abbott_et_al_2019,1983,1983-1,2015,11,20,NA,29.918666075555556,-93.34708549805556,NA,RTK,NA,0.2714333333333333,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abbott_et_al_2019,1983,1983-2,2015,11,20,NA,29.9186604275,-93.34346374444443,NA,RTK,NA,0.3756333333333333,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abbott_et_al_2019,1983,1983-3,2015,11,20,NA,29.91903731416667,-93.34347062916666,NA,RTK,NA,0.3791,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abbott_et_al_2019,1983,1983-4,2015,11,20,NA,29.919426718333337,-93.34528391583332,NA,RTK,NA,0.35857500000000003,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abbott_et_al_2019,1983,1983-5,2015,11,20,NA,29.919825778611113,-93.34348262111112,NA,RTK,NA,0.3633666666666666,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abbott_et_al_2019,1983,1983-6,2015,11,20,NA,29.921027103333333,-93.34538804527776,NA,RTK,NA,0.33446666666666663,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abbott_et_al_2019,1996,1996-1,2016,9,1,NA,29.90083804305555,-93.37099172027776,NA,RTK,NA,0.2702,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abbott_et_al_2019,1996,1996-2,2016,9,1,NA,29.9007105225,-93.36906328027776,NA,RTK,NA,0.30526666666666663,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abbott_et_al_2019,1996,1996-3,2016,9,1,NA,29.900013447777777,-93.36845573083332,NA,RTK,NA,0.3903,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abbott_et_al_2019,1996,1996-4,2016,9,1,NA,29.899892958055556,-93.3663540136111,NA,RTK,NA,0.37666666666666665,"NAVD88",NA,RTK,NA,saline,NA,NA,emergent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,Louisiana,marsh,C2,B1,A1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
